winner,metric,margin
RF,accuracy,0.009061200237670763
LR,precision,0.00851241004464931
RF,recall,0.042533081285444196
RF,f1,0.019557874232271177
RF,roc_auc,0.0053902469588805735
RF,avg_precision,0.010236035544818
