model,accuracy,precision,recall,f1,roc_auc,avg_precision
LR,0.905377302436126,0.8977945131791286,0.7887523629489603,0.839748427672956,0.956517131994247,0.9332635481994672
RF,0.9144385026737968,0.8892821031344793,0.8312854442344045,0.8593063019052272,0.9619073789531276,0.9434995837442852
